distance,duration
588.6,1.98
588.6,1.65
588.6,1.18
588.6,1.8
588.6,1.75
588.6,3.13
588.6,1.85
588.6,1.67
1191.08,2.48
1191.08,2.67
1191.08,2.25
1191.08,2.38
1191.08,2.57
1191.08,2.33
1191.08,2.38
1191.08,2.78
1191.08,2.15
1928.41,3.97
1928.41,3.7
1928.41,3.5
1928.41,3.63
1928.41,3.25
1928.41,3.78
1928.41,3.7
1928.41,3.5
556.66,1.67
556.66,1.52
556.66,1.4
556.66,1.7
556.66,1.52
556.66,1.33
556.66,1.75
556.66,2.1
556.66,1.18
700.35,2.08
700.35,1.97
700.35,2.1
700.35,2.25
700.35,1.83
700.35,1.92
700.35,2.08
700.35,2.0
700.35,2.15
700.35,1.97
700.35,2.0
700.35,2.37
700.35,1.83
700.35,1.92
700.35,2.0
700.35,1.93
700.35,1.92
700.35,2.08
700.35,1.67
700.35,1.83
700.35,2.0
700.35,1.88
700.35,1.28
10616.64,15.42
10616.64,15.17
10616.64,14.57
10616.64,15.62
10616.64,15.42
10616.64,15.03
10616.64,15.22
10616.64,16.57
3306.64,5.43
3306.64,5.33
8128.5,9.42
10984.35,13.25
8986.43,11.38
2111.19,3.88
2111.19,3.92
2111.19,3.83
6198.72,8.0
10878.54,12.75
8171.9,10.08
8171.9,9.45
8171.9,9.75
8171.9,10.1
6275.4,9.0
2984.31,4.33
2984.31,4.5
2984.31,4.58
2984.31,4.58
2984.31,4.33
2984.31,4.58
2984.31,4.5
2984.31,4.58
2984.31,4.58
2984.31,4.58
2984.31,4.58
2984.31,4.92
2984.31,4.92
307.88,1.0
307.88,1.17
307.88,1.17
307.88,0.83
307.88,1.17
307.88,0.83
307.88,1.17
307.88,1.25
307.88,0.92
307.88,0.92
3569.78,5.42
624.66,1.17
624.66,1.33
624.66,1.33
624.66,1.42
2716.73,4.75
364.28,1.25
364.28,1.0
364.28,1.0
364.28,1.25
364.28,0.83
364.28,1.0
364.28,1.0
364.28,1.17
364.28,1.25
364.28,1.0
2747.15,4.5
2582.82,4.08
3381.66,5.42
3381.66,5.5
1583.34,2.75
1583.34,2.83
1583.34,2.83
1544.44,2.67
1544.44,3.0
1544.44,2.67
1630.07,2.92
1630.07,2.92
1668.91,3.17
1705.69,3.17
1016.57,1.83
1016.57,2.0
1016.57,1.83
1016.57,1.83
521.5,1.42
521.5,1.33
521.5,1.33
769.48,1.5
769.48,1.5
769.48,2.42
769.48,1.75
769.48,1.5
723.43,1.58
723.43,1.75
963.18,1.92
963.18,1.83
787.3,1.67
1371.18,2.58
1371.18,2.5
1371.18,2.5
1371.18,2.5
1371.18,2.67
1371.18,2.5
1371.18,2.58
1371.18,2.5
1371.18,2.58
1371.18,2.58
1371.18,2.33
1371.18,2.58
1371.18,2.58
1371.18,2.58
845.74,1.67
1229.33,2.25
3716.03,4.67
3716.03,4.92
3716.03,4.83
3716.03,4.67
3716.03,5.75
1095.26,2.0
3837.49,4.83
3837.49,4.83
3837.49,4.92
3837.49,4.9
1672.8,2.75
961.7,2.0
961.7,1.83
961.7,1.83
961.7,1.83
1262.49,2.17
1262.49,2.17
2300.23,3.5
2300.23,3.42
2300.23,3.42
1088.41,2.0
3049.16,4.83
3049.16,4.58
2933.85,3.83
5068.25,6.75
5068.25,6.42
3332.11,5.17
3332.11,5.17
3167.71,4.92
307.88,1.17
307.88,0.92
307.88,1.0
307.88,0.83
307.88,1.17
307.88,1.17
307.88,1.25
307.88,1.0
307.88,1.0
2256.52,3.58
2256.52,3.58
2256.52,3.5
2256.52,3.58
2256.52,3.58
2256.52,3.67
2256.52,3.58
2256.52,3.58
4732.3,6.0
4732.3,6.08
655.72,1.33
655.72,1.25
1058.59,1.83
805.38,1.58
805.38,1.5
10106.3,12.25
1454.31,2.33
9104.07,11.75
822.45,1.5
1260.28,2.08
1260.28,2.25
673.1,1.33
673.1,1.5
1991.2,3.17
1991.2,2.83
981.93,1.67
981.93,1.83
981.93,1.83
981.93,1.83
981.93,1.67
3532.91,4.58
3532.91,4.58
364.28,1.25
364.28,1.25
364.28,1.0
364.28,1.0
364.28,0.83
364.28,1.25
364.28,0.83
364.28,1.17
364.28,0.83
1511.08,2.58
1511.08,2.75
1511.08,2.75
1511.08,2.5
1511.08,2.58
655.72,1.08
3408.69,4.5
3408.69,4.58
3408.69,4.5
3408.69,4.5
1747.28,3.08
906.15,1.58
906.15,1.75
